redirect_clients,type,value
1,throughput,60.15232975988393
1,read_latency,15098.936460272656
1,update_latency,18101.082002917257
1,throughput,59.479553903345725
1,read_latency,15417.018978743807
1,update_latency,18171.737025468527
1,throughput,59.74054680522491
1,read_latency,15370.850481066114
1,update_latency,18081.648205787264
1,throughput,60.118120082337775
1,read_latency,15127.37944742596
1,update_latency,18131.90559468706
1,throughput,59.64800519176237
1,read_latency,15252.975069307326
1,update_latency,18244.85138685546
1,throughput,64.62173345215116
1,read_latency,13753.227567437765
1,update_latency,17146.99422323499
1,throughput,60.30817477309049
1,read_latency,15233.117320997746
1,update_latency,17895.05312255502
1,throughput,59.64341587385656
1,read_latency,15337.282563130053
1,update_latency,18175.59723474602
1,throughput,59.93719780414082
1,read_latency,15272.666200754777
1,update_latency,18065.80482381458
1,throughput,59.7442944198829
1,read_latency,15441.206749960083
1,update_latency,18002.806257014592
1,throughput,60.937152467802335
1,read_latency,15029.354693356727
1,update_latency,17777.311030414894
1,throughput,60.04841102897156
1,read_latency,14960.186199847689
1,update_latency,18285.797732625444
1,throughput,59.656652104477885
1,read_latency,15307.36669924797
1,update_latency,18184.888146944995
1,throughput,59.45532972439482
1,read_latency,15500.857305139805
1,update_latency,18089.46530718744
1,throughput,59.46208221941033
1,read_latency,15518.196920551018
1,update_latency,18075.53094534122
1,throughput,65.20664638305253
1,read_latency,13636.470828740356
1,update_latency,16985.91625586269
1,throughput,60.28305304727819
1,read_latency,14971.78515726281
1,update_latency,18182.558412386436
1,throughput,59.45214845201468
1,read_latency,15412.61115335361
1,update_latency,18174.338157684313
1,throughput,65.7396067325246
1,read_latency,13558.08854876192
1,update_latency,16842.44375449245
1,throughput,59.85769431752951
1,read_latency,15280.252676616516
1,update_latency,18090.697911065974
1,throughput,60.29413892734315
1,read_latency,15037.975935562334
1,update_latency,18106.36524687519
1,throughput,59.45214845201468
1,read_latency,15439.753269084656
1,update_latency,18160.207478093867
8,throughput,20.281877533967073
8,read_latency,32975.806009276064
8,update_latency,65147.96111882563
8,throughput,21.440731386229047
8,read_latency,30686.298270033803
8,update_latency,62325.08831221082
8,throughput,20.23112031851876
8,read_latency,33841.98892185954
8,update_latency,65041.114459049546
8,throughput,20.029443281623987
8,read_latency,33781.36641524414
8,update_latency,66007.05320435308
8,throughput,19.780006764762312
8,read_latency,34615.66252006421
8,update_latency,65810.13875598086
8,throughput,19.763744201811544
8,read_latency,35683.54933492158
8,update_latency,65357.54805561152
8,throughput,20.392431960650764
8,read_latency,33639.35456517452
8,update_latency,64371.42361533779
8,throughput,21.250100937979454
8,read_latency,31739.39333201032
8,update_latency,62349.764765168315
8,throughput,19.874946834517218
8,read_latency,35473.48815448935
8,update_latency,64793.318264014466
8,throughput,20.21566066800629
8,read_latency,34052.12004875076
8,update_latency,64049.595824305696
8,throughput,20.76976918555504
8,read_latency,32396.956928078016
8,update_latency,63046.72154391493
8,throughput,19.720404110521034
8,read_latency,34751.70640895219
8,update_latency,65883.21828908555
8,throughput,19.948532785413633
8,read_latency,35164.79045145825
8,update_latency,64584.96856227473
8,throughput,20.050004711751107
8,read_latency,34416.1581265012
8,update_latency,64827.57613908873
8,throughput,19.96868909549826
8,read_latency,33672.61335465813
8,update_latency,66135.41596638656
8,throughput,21.14920553009426
8,read_latency,31023.80425880426
8,update_latency,62392.6166927287
8,throughput,19.947498184777665
